horizon,end_date,n_obs,ql_har,ql_harx,delta_ql,delta_ql_e4
6m,2016-06-23,8144,0.0003016047448690626,0.0002981354606963348,-3.469284172727806e-06,-0.03469284172727806
6m,2016-07-22,8165,0.0003015643545589808,0.0002979877755810926,-3.5765789778881827e-06,-0.035765789778881826
6m,2016-08-22,8186,0.00030153083307329394,0.00029788582246047864,-3.645010612815297e-06,-0.03645010612815297
6m,2016-09-20,8207,0.00030138731372068915,0.00029767246619289176,-3.7148475277973855e-06,-0.03714847527797385
6m,2016-10-19,8228,0.0003011761660481697,0.0002973970160309841,-3.77915001718561e-06,-0.0377915001718561
6m,2016-11-17,8249,0.00030081174878038096,0.0002969931027528514,-3.818646027529591e-06,-0.03818646027529591
6m,2016-12-16,8270,0.0003003704817630117,0.00029648962860349785,-3.8808531595138445e-06,-0.038808531595138446
6m,2017-01-17,8291,0.0002999690943914899,0.0002960455433636417,-3.9235510278481565e-06,-0.039235510278481565
6m,2017-02-15,8312,0.000299449434067243,0.0002954274536350037,-4.021980432239295e-06,-0.04021980432239295
6m,2017-03-16,8333,0.0002989484990134454,0.0002947862135553787,-4.1622854580667355e-06,-0.041622854580667355
6m,2017-04-18,8354,0.0002985507923074533,0.00029424192160867744,-4.308870698775842e-06,-0.04308870698775842
6m,2017-05-18,8375,0.00029851528230550483,0.0002940653388369275,-4.449943468577309e-06,-0.04449943468577309
6m,2017-06-19,8396,0.00029861875801952004,0.0002940495254230445,-4.569232596475558e-06,-0.04569232596475557
6m,2017-07-18,8417,0.000298732795310857,0.00029406192397794117,-4.670871332915834e-06,-0.046708713329158345
6m,2017-08-16,8438,0.0002986980743051448,0.0002939140059032539,-4.784068401890895e-06,-0.04784068401890895
6m,2017-09-15,8459,0.0002986842922242126,0.00029384262181458707,-4.841670409625549e-06,-0.048416704096255495
6m,2017-10-16,8480,0.0002984982435702833,0.00029360161376405184,-4.896629806231474e-06,-0.04896629806231474
6m,2017-11-14,8501,0.0002981947000510058,0.0002932812432834122,-4.913456767593636e-06,-0.049134567675936366
6m,2017-12-13,8522,0.00029783603503656577,0.0002929211335671159,-4.914901469449883e-06,-0.04914901469449883
6m,2018-01-15,8543,0.00029757524642461824,0.0002927330603780482,-4.842186046570042e-06,-0.04842186046570042
6m,2018-02-13,8564,0.00029716149172495096,0.0002924004519942573,-4.76103973069366e-06,-0.04761039730693661
6m,2018-03-14,8585,0.00029667208266804385,0.0002919845595342558,-4.6875231337880426e-06,-0.04687523133788043
6m,2018-04-16,8606,0.0002963427303342802,0.0002916552001637767,-4.687530170503491e-06,-0.046875301705034914
6m,2018-05-16,8627,0.00029602054538946577,0.0002913023085913188,-4.718236798146973e-06,-0.04718236798146973
6m,2018-06-14,8648,0.0002957383162885198,0.00029095726364396847,-4.78105264455135e-06,-0.0478105264455135
6m,2018-07-13,8669,0.0002955380335183373,0.0002906647175732534,-4.873315945083862e-06,-0.04873315945083862
6m,2018-08-13,8690,0.00029545887073560874,0.00029033865262044305,-5.120218115165691e-06,-0.05120218115165691
6m,2018-09-12,8711,0.000295081897699114,0.0002898351115715017,-5.246786127612263e-06,-0.05246786127612263
6m,2018-10-11,8732,0.00029478362322584714,0.0002893412427499106,-5.442380475936543e-06,-0.05442380475936543
6m,2018-11-09,8753,0.00029450273516132047,0.00028877859339004425,-5.724141771276225e-06,-0.05724141771276225
6m,2018-12-10,8774,0.0002941404930010728,0.00028820702641333784,-5.933466587734987e-06,-0.05933466587734987
6m,2019-01-10,8795,0.0002939752148808763,0.0002877495103957153,-6.225704485161019e-06,-0.06225704485161019
6m,2019-02-08,8816,0.00029372507467422286,0.0002873265100861773,-6.398564588045547e-06,-0.06398564588045548
6m,2019-03-11,8837,0.0002935049340874386,0.00028693850122471157,-6.566432862727058e-06,-0.06566432862727058
